epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3359.58,1.31851,0.98233,1.35878,0.54575,0.67455,0.61872,0.22198,2.23465,1.52962,2.13157,0.0009308,0.0009308,0.0009308
56,3417.86,1.20944,0.8861,1.29697,0.59741,0.5988,0.62379,0.24375,2.14383,1.58488,2.08003,0.000911,0.000911,0.000911
57,3479.82,1.18938,0.90056,1.29842,0.70755,0.59649,0.63533,0.26355,2.08317,1.63554,2.03449,0.0008912,0.0008912,0.0008912
58,3537.9,1.19808,0.92263,1.27952,0.8304,0.50877,0.60177,0.23387,2.13673,1.71785,2.09351,0.0008714,0.0008714,0.0008714
59,3595.75,1.13439,0.88145,1.27883,0.72423,0.5614,0.57578,0.23959,2.07173,1.71061,2.04888,0.0008516,0.0008516,0.0008516
60,3652.95,1.25704,1.03634,1.33679,0.67804,0.54386,0.56321,0.22722,2.16425,1.64997,2.15368,0.0008318,0.0008318,0.0008318
61,3710.19,1.17761,0.91171,1.31556,0.82147,0.48447,0.59216,0.23494,2.17954,1.58046,2.11741,0.000812,0.000812,0.000812
62,3768.08,1.06156,0.83514,1.17959,0.58559,0.64912,0.60129,0.23269,2.28912,1.53829,2.24579,0.0007922,0.0007922,0.0007922
63,3825.81,1.18904,0.91186,1.27125,0.66439,0.66667,0.67255,0.29567,2.04143,1.44893,2.01732,0.0007724,0.0007724,0.0007724
64,3883.87,1.12077,0.8584,1.30388,0.75623,0.63158,0.68489,0.29732,2.06629,1.4116,2.05655,0.0007526,0.0007526,0.0007526
65,3941.8,1.07352,0.83512,1.22695,0.65451,0.63148,0.64279,0.26183,2.16065,1.4793,2.17984,0.0007328,0.0007328,0.0007328
66,3999.53,1.16566,1.06112,1.32605,0.67966,0.61404,0.65703,0.28838,2.12357,1.48139,2.12126,0.000713,0.000713,0.000713
67,4057.05,1.0674,0.786,1.21661,0.73318,0.59649,0.65015,0.27824,2.08041,1.47266,2.06798,0.0006932,0.0006932,0.0006932
68,4114.94,1.08949,0.74538,1.20595,0.86339,0.52632,0.62954,0.27661,2.10017,1.58151,2.08236,0.0006734,0.0006734,0.0006734
69,4172.36,1.11429,0.89997,1.20474,0.80098,0.56493,0.6333,0.27031,2.13724,1.53454,2.1202,0.0006536,0.0006536,0.0006536
70,4229.63,1.08335,0.78574,1.20729,0.7717,0.59649,0.64859,0.26901,2.13972,1.50593,2.06919,0.0006338,0.0006338,0.0006338
71,4287.25,0.91784,1.72237,1.03791,0.67123,0.64912,0.60786,0.25387,2.16655,1.49826,2.1229,0.000614,0.000614,0.000614
72,4344.48,1.05696,0.79374,1.16941,0.67998,0.59643,0.5713,0.2594,2.11471,1.52178,2.09191,0.0005942,0.0005942,0.0005942
73,4401.73,1.26766,1.16428,1.4153,0.69675,0.56439,0.64362,0.27768,2.02763,1.47872,2.00491,0.0005744,0.0005744,0.0005744
74,4458.99,1.11497,0.82655,1.24172,0.59387,0.66667,0.62115,0.26598,2.05945,1.52945,2.03559,0.0005546,0.0005546,0.0005546
75,4516.8,1.09481,0.78711,1.19235,0.66252,0.58559,0.62266,0.26001,2.07041,1.49954,2.10059,0.0005348,0.0005348,0.0005348
76,4574.56,1.08886,0.79082,1.19569,0.68184,0.57895,0.60368,0.25285,2.06483,1.48962,2.13235,0.000515,0.000515,0.000515
77,4631.33,0.98557,0.75636,1.17727,0.63206,0.70175,0.67992,0.30123,2.01714,1.43459,2.06706,0.0004952,0.0004952,0.0004952
78,4687.74,1.04659,0.73749,1.17172,0.65638,0.66667,0.64754,0.29219,2.04365,1.3729,2.09124,0.0004754,0.0004754,0.0004754
79,4743.96,1.08755,0.84627,1.23331,0.72868,0.63158,0.67441,0.27562,2.14046,1.34427,2.24022,0.0004556,0.0004556,0.0004556
80,4800.83,0.97753,0.66724,1.16539,0.68128,0.66667,0.66771,0.26415,2.17058,1.39261,2.27216,0.0004358,0.0004358,0.0004358
81,4857.39,0.98975,0.72349,1.16663,0.60751,0.66667,0.60883,0.25301,2.18268,1.53661,2.23842,0.000416,0.000416,0.000416
82,4914.1,1.05217,0.71658,1.1809,0.64703,0.54677,0.61677,0.249,2.19028,1.56599,2.18881,0.0003962,0.0003962,0.0003962
83,4971.29,0.98377,0.75492,1.17525,0.64225,0.62995,0.64782,0.25975,2.1284,1.57578,2.12712,0.0003764,0.0003764,0.0003764
84,5027.95,0.97907,0.82648,1.1391,0.8126,0.49123,0.65136,0.25949,2.15484,1.54713,2.15811,0.0003566,0.0003566,0.0003566
85,5084.54,0.98882,0.66338,1.16146,0.79656,0.50877,0.65531,0.2501,2.15924,1.53937,2.17274,0.0003368,0.0003368,0.0003368
86,5141.55,1.01725,0.69438,1.16712,0.74169,0.5614,0.66102,0.25746,2.13913,1.53759,2.1207,0.000317,0.000317,0.000317
87,5198.24,0.9305,0.69434,1.16169,0.7131,0.63158,0.67607,0.27663,2.09773,1.55817,2.07162,0.0002972,0.0002972,0.0002972
88,5254.94,1.03684,0.7787,1.19031,0.74378,0.6112,0.6732,0.28005,2.03617,1.54679,2.04091,0.0002774,0.0002774,0.0002774
89,5311.77,0.9523,0.65777,1.12703,0.7339,0.57895,0.65868,0.26708,2.06498,1.58108,2.09256,0.0002576,0.0002576,0.0002576
90,5368.49,0.87806,0.66849,1.08431,0.80631,0.5614,0.65975,0.26965,2.08988,1.59384,2.13605,0.0002378,0.0002378,0.0002378
91,5424.99,0.99411,0.96438,1.27528,0.7397,0.54386,0.65327,0.26553,2.07451,1.57615,2.1245,0.000218,0.000218,0.000218
92,5481.19,0.93894,0.69226,1.16717,0.55893,0.61404,0.60375,0.26,2.05283,1.57876,2.09561,0.0001982,0.0001982,0.0001982
93,5537.44,0.96125,0.68071,1.13182,0.56382,0.58968,0.60535,0.25238,2.06918,1.58146,2.1251,0.0001784,0.0001784,0.0001784
94,5593.66,0.83856,0.60369,1.06295,0.60648,0.56788,0.61515,0.24352,2.08362,1.53502,2.16836,0.0001586,0.0001586,0.0001586
95,5649.51,0.84591,0.61285,1.0834,0.64559,0.57895,0.61108,0.24419,2.1011,1.50708,2.21043,0.0001388,0.0001388,0.0001388
96,5706.21,0.87295,0.64483,1.08965,0.57516,0.61757,0.63556,0.23527,2.10455,1.5052,2.20476,0.000119,0.000119,0.000119
97,5763.04,0.75178,0.59935,1.09961,0.59776,0.61404,0.64771,0.2365,2.11512,1.50687,2.20855,9.92e-05,9.92e-05,9.92e-05
98,5824.08,0.82334,0.60234,1.07923,0.61198,0.64912,0.64466,0.24622,2.10037,1.49109,2.19181,7.94e-05,7.94e-05,7.94e-05
99,5894.75,0.8123,0.63237,1.11029,0.65097,0.63158,0.65228,0.25234,2.09028,1.49506,2.18306,5.96e-05,5.96e-05,5.96e-05
100,5953.21,0.77678,0.56823,1.07038,0.62428,0.68421,0.65574,0.25001,2.10123,1.48664,2.17998,3.98e-05,3.98e-05,3.98e-05
